geosid,count,fix,Note
4210270.01,2,4210271.02,
4620082.00,2,4620084.00,Also had to swap 0083.00 with 0082.00
4620270.00,2,4620279.00,
4620418.00,2,4620411.00,
4620560.00,2,Dissolve,
4620852.01,2,4620825.01,
4620886.00,2,Dissolve,
4620887.01,3,4620887.02,Two remaining 887.01 need to be dissolved
4620904.00,2,Dissolve,
5350166.00,2,5350165.00,
5350208.00,2,5350203.00,
5350516.06,2,5350516.05,
5350516.07,2,5350516.08,
5370058.00,2,5370055.00,
9330018.01,2,9330018.02,
9330103.00,2,9330102.00,
9330140.00,2,9330141.00,
9330235.01,2,9330285.01,
9330403.01,2,9330403.02,
